Name,Taxon_ID,Accession_Number,Length
Pectobacterium,122277,WP_048261534.1,650
Pectobacterium carotovorum,554,WP_048257337.1,650
Pectobacterium carotovorum subsp. carotovorum ICMP 5702,1267545,KML68446.1,650
Pectobacterium peruviense,2066479,KML66223.1,650
Pectobacterium atrosepticum ICMP 1526,1076138,KMK88250.1,650
Pectobacterium carotovorum subsp. brasiliensis ICMP 19477,1076137,KMK81159.1,650
Phytobacter ursingii,1972431,WP_047369384.1,647
Phytobacter ursingii,1972431,AKL10982.1,647
Aeromonas hydrophila NJ-35,1416915,AKJ33112.1,430
Comamonas sp. E6,364029,GAO70432.1,661
Comamonas thiooxydans,363952,KKI14999.1,661
Aeromonas aquatica,558964,WP_045525526.1,430
Aeromonas hydrophila,644,WP_044800845.1,430
Aeromonas hydrophila,644,AJQ56104.1,430
Chromobacterium piscinae,686831,WP_043625115.1,641
Pseudomonas rhizosphaerae,216142,WP_043191863.1,650
Aeromonas hydrophila,644,WP_043164595.1,430
Aeromonas hydrophila,644,WP_043160690.1,430
Aeromonas hydrophila,644,WP_043127189.1,430
Aeromonas hydrophila,644,WP_043119436.1,430
Achromobacter insolitus,217204,WP_042792880.1,657
Pseudomonas fulva,47880,WP_042555336.1,643
Pseudomonas fulva,47880,KIP97906.1,643
Aeromonas enteropelogenes,29489,WP_042071056.1,432
Aeromonas hydrophila,644,WP_042064728.1,430
Aeromonas enteropelogenes,29489,WP_042025863.1,432
Aeromonas hydrophila,644,WP_041216491.1,430
Pectobacterium carotovorum,554,WP_040044168.1,650
Pectobacterium carotovorum,554,WP_040034756.1,650
Pectobacterium carotovorum,554,WP_040032406.1,650
Aeromonas hydrophila J-1,1419584,AJE34916.1,430
Pectobacterium carotovorum,554,WP_039554153.1,650
Pseudomonas aeruginosa,287,PBZ80868.1,650
Pseudomonas aeruginosa,287,PBZ73674.1,650
Pseudomonas aeruginosa,287,PBZ66498.1,650
Pseudomonas aeruginosa,287,PBZ60233.1,650
Pseudomonas aeruginosa,287,PBZ54492.1,650
Pseudomonas aeruginosa,287,PBZ45561.1,650
Pseudomonas aeruginosa,287,PBZ40270.1,650
Pseudomonas aeruginosa,287,PBZ35375.1,650
Pseudomonas aeruginosa,287,PBZ28261.1,650
Pseudomonas aeruginosa,287,PBZ20138.1,650
Pseudomonas aeruginosa,287,PBZ13361.1,650
Pseudomonas aeruginosa,287,PBZ10760.1,650
Pseudomonas aeruginosa,287,PBZ02891.1,650
Pseudomonas aeruginosa,287,PBY98927.1,650
Pseudomonas aeruginosa,287,PBY92064.1,650
Pseudomonas aeruginosa,287,PBY85568.1,650
Pseudomonas aeruginosa,287,PBY79200.1,650
Pseudomonas aeruginosa,287,PBY71926.1,650
Pseudomonas aeruginosa,287,PBY62913.1,650
Pseudomonas aeruginosa,287,PBY57705.1,650
Pseudomonas aeruginosa,287,PBY52260.1,650
Pseudomonas aeruginosa,287,PBY45121.1,650
Pseudomonas aeruginosa,287,PBY42114.1,650
Pseudomonas aeruginosa,287,PBY35622.1,650
Pseudomonas aeruginosa,287,PBY27451.1,650
Pseudomonas aeruginosa,287,PBY21990.1,650
Pseudomonas aeruginosa,287,PBY14395.1,650
Pseudomonas aeruginosa,287,PBY08323.1,650
Pseudomonas aeruginosa,287,PBY06077.1,650
Pseudomonas aeruginosa,287,PBX95856.1,650
Pseudomonas aeruginosa,287,PBX89949.1,650
Pseudomonas aeruginosa,287,PBX84064.1,650
Pseudomonas aeruginosa,287,PBX75964.1,650
Pseudomonas aeruginosa,287,PBX70472.1,650
Pseudomonas aeruginosa,287,PBX67203.1,650
Pseudomonas aeruginosa,287,PBX59847.1,650
Pseudomonas aeruginosa,287,PBX51003.1,650
Pseudomonas aeruginosa,287,PBX47085.1,650
Pseudomonas aeruginosa,287,PBX43387.1,650
Pseudomonas aeruginosa,287,PBX35092.1,650
Pseudomonas aeruginosa,287,PBX31211.1,650
Pseudomonas aeruginosa,287,PBX22617.1,650
Pseudomonas aeruginosa,287,PBX17256.1,650
Pseudomonas aeruginosa,287,PBX11332.1,650
Pseudomonas aeruginosa,287,PBX05315.1,650
Pseudomonas aeruginosa,287,PBX00544.1,650
Pseudomonas aeruginosa,287,PBW91499.1,650
Pseudomonas aeruginosa,287,PBW89901.1,650
Pseudomonas aeruginosa,287,PBW78356.1,650
Pseudomonas aeruginosa,287,PBW74162.1,650
Thalassolituus oleivorans,187493,WP_015487954.1,660
Pseudomonas,286,WP_015268514.1,648
Thioalkalivibrio nitratireducens,186931,WP_015257426.1,625
Pseudomonas sp. UW4,1207075,WP_015092943.1,648
Alteromonas mediterranea,314275,WP_015066897.1,646
Bordetella parapertussis,519,WP_015040405.1,658
Cycloclasticus sp. P1,385025,WP_015006834.1,634
Pseudomonas putida,303,WP_014589288.1,648
Arcobacter sp. L,944547,WP_014474424.1,632
Arcobacter sp. L,944547,WP_014473423.1,742
Vibrio,662,WP_014235111.1,637
Pseudogulbenkiania sp. NH8B,748280,WP_014088619.1,640
Pseudomonas putida group,136845,WP_013970356.1,648
Pseudoalteromonas sp. SM9913,234831,WP_013464706.1,668
Achromobacter xylosoxidans,85698,WP_013392873.1,652
Achromobacter xylosoxidans,85698,WP_013392869.1,657
Ferrimonas balearica,44012,WP_013347048.1,639
Denitrovibrio acetiphilus,118000,WP_013009475.1,647
Thioalkalivibrio sp. K90mix,396595,WP_012982705.1,635
Alteromonas mediterranea,314275,WP_012518103.1,645
Leptothrix cholodnii,34029,WP_012347122.1,632
Pseudomonas putida,303,WP_012316817.1,648
Pseudomonas,286,WP_012269969.1,648
Aeromonas hydrophila,644,WP_011706510.1,641
Pseudomonas entomophila,312306,WP_011531576.1,648
Hydrogenovibrio crunogenus,39765,WP_011369630.1,645
Pseudoalteromonas haloplanktis,228,WP_011328471.1,668
Aliivibrio fischeri,668,WP_011263953.1,641
Chromobacterium violaceum,536,WP_011133865.1,633
Vibrio,662,WP_011082023.1,639
Pseudomonas,286,WP_010951554.1,648
Bordetella parapertussis,519,WP_010927776.1,658
Plesiomonas shigelloides 302-73,1315976,EON88342.1,660
Aeromonas dhakensis,196024,WP_010633575.1,641
Pseudoalteromonas arctica,394751,WP_010554182.1,667
Pseudoalteromonas undina,43660,WP_010389649.1,668
Marinobacterium stanieri,49186,WP_010324322.1,652
Vibrio ordalii,28174,WP_010317286.1,636
Pseudomonas,286,WP_009685657.1,648
Vibrio caribbeanicus,701175,WP_009601141.1,637
Pseudomonas putida,303,WP_009400410.1,643
Pseudogulbenkiania ferrooxidans,549169,WP_008952135.1,640
Citrobacter freundii complex,1344959,WP_008785657.1,644
Sulfurimonas gotlandica,1176482,WP_008339617.1,640
gamma proteobacterium BDW918,1168065,WP_008246798.1,640
Achromobacter arsenitoxydans,1147684,WP_008164887.1,653
Pseudomonas sp. GM84,1144340,WP_008095497.1,647
Pseudomonas sp. GM74,1144336,WP_008054199.1,648
Pseudomonas sp. GM55,1144333,WP_008022181.1,648
Pseudomonas sp. GM49,1144331,WP_008003944.1,648
Pseudomonas sp. LAB-08,143813,WP_096512878.1,646
Pseudomonas frederiksbergensis,104087,WP_096481516.1,648
Pseudomonas chlororaphis,587753,WP_096375926.1,648
Halomonas nigrificans,2042704,PCF94184.1,642
Vibrio mediterranei,689,PCD86199.1,636
Pseudomonas frederiksbergensis,104087,ATE80342.1,648
Pseudomonas aeruginosa,287,PCC92383.1,650
Pseudomonas aeruginosa,287,PCC84630.1,650
Pseudomonas aeruginosa,287,WP_096314103.1,650
Halomonas sp. hl-4,1761789,WP_096298702.1,633
Pseudomonas aeruginosa,287,WP_096246559.1,650
Pseudomonas aeruginosa,287,WP_096221156.1,650
Pseudomonas aeruginosa,287,PCC11476.1,650
Pseudomonas aeruginosa,287,PCC00564.1,650
Pseudomonas aeruginosa,287,PCB96913.1,650
Pseudomonas aeruginosa,287,PCB88310.1,650
Pseudomonas aeruginosa,287,PCB87769.1,650
Pseudomonas aeruginosa,287,PCB76159.1,650
Pseudomonas aeruginosa,287,PCB70790.1,650
Pseudomonas aeruginosa,287,PCB65055.1,650
Pseudomonas aeruginosa,287,PCB61724.1,650
Pseudomonas aeruginosa,287,PCB54935.1,650
Pseudomonas aeruginosa,287,PCB46892.1,650
Pseudomonas aeruginosa,287,PCB42604.1,650
Pseudomonas aeruginosa,287,PCB34305.1,650
Pseudomonas aeruginosa,287,PCB31971.1,650
Pseudomonas aeruginosa,287,PCB22016.1,650
Pseudomonas aeruginosa,287,PCB19875.1,650
Pseudomonas aeruginosa,287,PCB12986.1,650
Pseudomonas aeruginosa,287,PCB06660.1,650
Pseudomonas aeruginosa,287,PCA98174.1,650
Pseudomonas aeruginosa,287,PCA89947.1,650
Pseudomonas aeruginosa,287,PCA89109.1,650
Pseudomonas aeruginosa,287,PCA78653.1,650
Pseudomonas aeruginosa,287,PCA71798.1,650
Pseudomonas aeruginosa,287,PCA65899.1,650
Pseudomonas aeruginosa,287,PCA57762.1,650
Pseudomonas aeruginosa,287,PCA53719.1,650
Pseudomonas aeruginosa,287,PCA47788.1,650
Pseudomonas aeruginosa,287,PCA42590.1,650
Pseudomonas aeruginosa,287,PCA36741.1,650
Pseudomonas aeruginosa,287,PCA28891.1,650
Pseudomonas aeruginosa,287,PCA23462.1,650
Pseudomonas aeruginosa,287,PCA17344.1,650
Pseudomonas aeruginosa,287,PCA11461.1,650
Pseudomonas aeruginosa,287,PCA05737.1,650
Pseudomonas aeruginosa,287,PBZ99502.1,650
Pseudomonas aeruginosa,287,PBZ93464.1,650
Pseudomonas aeruginosa,287,PBZ87635.1,650
Pseudomonas aeruginosa,287,PBZ85865.1,650
Methylobacter sp.,2051955,PPD49350.1,437
Methylomonas sp.,418,PPD32220.1,436
Hyphomicrobium sp.,82,PPD09479.1,457
Methylotenera sp.,2051956,PPD01140.1,451
Methylotenera sp.,2051956,PPC97368.1,451
Methylotenera sp.,2051956,PPC97185.1,455
Methylotenera sp.,2051956,PPC84564.1,451
Methylobacterium sp. 190mf,1761798,WP_103985226.1,493
Methylovulum psychrotolerans,1704499,WP_103973612.1,435
Methylovulum psychrotolerans,1704499,POZ53728.1,445
Methylobacterium sp. V23,2044878,WP_103708680.1,497
Methylobacterium sp. V23,2044878,POR44275.1,497
Labrenzia marina,281252,WP_103222388.1,457
Labrenzia marina,281252,POF31446.1,461
Methylopila sp. Yamaguchi,1437817,WP_103121229.1,511
Azospirillum brasilense,192,WP_103039327.1,450
Azospirillum brasilense,192,PNQ99806.1,450
Paracoccus zhejiangensis,1077935,WP_101753391.1,443
Paracoccus sp. BM15,1529068,WP_101460065.1,508
Paracoccus zhejiangensis,1077935,AUH65368.1,443
Paracoccus sp. BM15,1529068,AUH33395.1,508
Telmatospirillum siberiense,382514,WP_101250098.1,452
Telmatospirillum siberiense,382514,PKU25171.1,452
Gammaproteobacteria bacterium HGW-Gammaproteobacteria-10,2013792,PKM35414.1,439
Gammaproteobacteria bacterium HGW-Gammaproteobacteria-3,2013799,PKM12186.1,435
Methylomonas sp. Kb3,1611544,PKD38127.1,436
Methylopila sp. Yamaguchi,1437817,GBD48766.1,511
Methylobacterium sp. UNC300MFChir4.1,1502747,WP_100251856.1,493
Bradyrhizobium sp. INPA54B,1419263,WP_100232872.1,452
Bradyrhizobium sp. INPA54B,1419263,PJG54286.1,452
Methylobacterium currus,2051553,WP_099956538.1,451
Puniceibacterium antarcticum,1206336,WP_099910911.1,456
Puniceibacterium antarcticum,1206336,PIL20130.1,456
Methylosinus trichosporium OB3b,595536,ATQ69771.1,444
Methylophaga sp.,2024840,PHS68776.1,443
Methylophaga sp.,2024840,PHS26605.1,443
Methylophaga sp.,2024840,PHR39712.1,443
Methylophaga sp.,2024840,PHR36190.1,443
Paracoccus sp.,267,PHQ67051.1,521
Azospirillum sp. B2,2044885,WP_098736976.1,423
Azospirillum sp. B2,2044885,PGH57526.1,423
Bradyrhizobium diazoefficiens,1355477,PDT57376.1,503
Bradyrhizobium sp. 3 85S1MB,1404367,WP_094971802.1,484
Bradyrhizobium sp. 2 39S1MB,1404768,WP_094891262.1,452
Methylococcaceae bacterium NSP1-2,1917481,OYV18018.1,431
Azospirillum brasilense,192,WP_094302787.1,450
Paracoccus aminovorans,34004,CQR86716.1,474
Azospirillum brasilense,192,OYD84977.1,450
Bradyrhizobium japonicum,375,WP_094184615.1,500
Variovorax sp. OV329,1882825,WP_093375300.1,455
Marinomonas profundimaris,1208321,ETI62485.1,650
Pseudomonas chlororaphis,587753,WP_023967539.1,648
Photobacterium leiognathi,553611,WP_023934737.1,642
Pseudomonas aeruginosa,287,WP_023912482.1,650
Pseudomonas moraviensis R28-S,1395516,ETF09895.1,650
Pseudomonas aeruginosa,287,WP_023875565.1,650
Pseudomonas aeruginosa VRFPA06,1423141,ETD74486.1,650
Pseudomonas aeruginosa VRFPA07,1431713,ETD48419.1,650
Pseudomonas aeruginosa VRFPA08,1434267,ETD40833.1,650
Pseudomonas chlororaphis subsp. aurantiaca PB-St2,1415170,ETD38587.1,648
Pseudomonas aeruginosa,287,WP_023835692.1,650
Pseudomonas aeruginosa MTB-1,1415629,AHB56954.1,650
Pseudomonas aeruginosa DHS29,1411701,ESZ83716.1,650
Vibrio parahaemolyticus 12310,1238196,ESW43766.1,619
Vibrio parahaemolyticus 10296,1238195,ESV67749.1,619
Pseudomonas aeruginosa MH27,1306165,CDH78242.1,650
Pseudomonas putida,303,WP_023535152.1,652
Pseudomonas putida S610,1399145,EST14922.1,652
Pseudomonas aeruginosa VRFPA05,1408193,ESR71965.1,650
Pseudomonas aeruginosa HB15,983919,ESQ65481.1,650
Pseudomonas aeruginosa PAO1-VE13,1367494,AGY70647.1,650
Pseudomonas aeruginosa PAO1-VE2,1367493,AGY64763.1,650
Pseudomonas aeruginosa,287,WP_023131206.1,650
Pseudomonas aeruginosa,287,WP_023130062.1,650
Pseudomonas aeruginosa,287,WP_023126280.1,650
Pseudomonas aeruginosa,287,WP_023120748.1,650
Pseudomonas aeruginosa,287,WP_023118360.1,650
Pseudomonas,286,WP_023112871.1,650
Pseudomonas aeruginosa,287,WP_023112573.1,650
Pseudomonas,286,WP_023106838.1,650
Pseudomonas aeruginosa,287,WP_023105445.1,650
Pseudomonas aeruginosa,287,WP_023103301.1,650
Pseudomonas aeruginosa,287,WP_023101386.1,650
Pseudomonas aeruginosa,287,WP_023099775.1,650
Pseudomonas aeruginosa,287,WP_023097839.1,650
Pseudomonas,286,WP_023092037.1,650
Pseudomonas aeruginosa,287,WP_023090701.1,650
Pseudomonas aeruginosa,287,WP_023085047.1,650
Pseudomonas aeruginosa M8A.3,1402569,ERZ48697.1,650
Pseudomonas aeruginosa MSH10,1402487,ERZ39764.1,650
Pseudomonas aeruginosa CF127,1402488,ERZ35686.1,650
Pseudomonas aeruginosa CF27,1402490,ERZ26652.1,650
Pseudomonas aeruginosa CF5,1402491,ERZ24585.1,650
Pseudomonas aeruginosa S54485,1402494,ERZ21761.1,650
Pseudomonas aeruginosa JJ692,1402495,ERZ11881.1,650
Pseudomonas aeruginosa BWHPSA007,1402507,ERZ08703.1,650
Pseudomonas aeruginosa BWHPSA008,1402508,ERY98284.1,650
Pseudomonas aeruginosa BWHPSA010,1402510,ERY97040.1,650
Pseudomonas aeruginosa BWHPSA009,1402509,ERY95450.1,650
Pseudomonas aeruginosa BWHPSA016,1402516,ERY83542.1,650
Photobacterium damselae,38293,WP_081312373.1,640
Alcaligenes faecalis,511,WP_081055348.1,646
Salinivibrio sp. PR919,1909491,WP_077479663.1,486
Salinivibrio sp. PR919,1909491,OOF14686.1,486
Bradyrhizobium mercantei,1904807,WP_076859019.1,454
Candidatus Rokubacteria bacterium 13_1_40CM_2_68_8,1805354,OLD39120.1,1016
Thiobacillus sp. 0-1251,1895858,OJY58724.1,939
Betaproteobacteria bacterium CG2_30_68_42,1805051,OIP09615.1,934
Nitrosospira briensis,35799,SFN41275.1,764
Marinobacter persicus,930118,SFJ51409.1,686
Nitrosospira briensis,35799,SFN76480.1,764
Duganella sp. CF517,1881038,SEN62530.1,849
Eubacterium aggregans,81409,SEA36514.1,621
Thiobacillus sp. GWE1_62_9,1802374,OHE60815.1,876
Hydrogenophilales bacterium RIFOXYD1_FULL_62_11,1798415,OGU23212.1,798
Deltaproteobacteria bacterium RIFOXYD12_FULL_55_16,1797904,OGQ99711.1,934
Deltaproteobacteria bacterium RIFOXYD12_FULL_56_24,1797905,OGQ86195.1,551
Nitrosospira sp. Nsp1,136547,SCX60391.1,707
Photobacterium damselae,38293,WP_069530886.1,640
Photobacterium damselae subsp. damselae,85581,OEC83199.1,640
Thiobacillus sp. SCN 63-57,1660145,ODV01418.1,939
Comamonas sp. SCN 65-56,1660095,ODS93830.1,659
Bradyrhizobium elkanii,29448,ODM86200.1,454
Bradyrhizobium elkanii,29448,ODM84252.1,454
Vibrio tritonius,1435069,WP_068712917.1,637
Magnetospirillum sp. XM-1,1663591,WP_068429846.1,421
Photobacterium damselae subsp. damselae,85581,ODA22086.1,631
Betaproteobacteria bacterium SCGC AG-212-J23,1799662,OAI52960.1,1032
Methylothermaceae bacteria B42,1798802,KXJ40216.1,455
Thiobacillus denitrificans,36861,WP_059754016.1,911
Alcaligenes faecalis,511,KVX04948.1,609
Magnetospirillum sp. XM-1,1663591,CUW37850.1,421
Bradyrhizobium pachyrhizi,280333,WP_057020560.1,454
Bradyrhizobium pachyrhizi,280333,KRP86455.1,454
Achromobacter xylosoxidans,85698,KOQ34013.1,276
Methylocucumis oryzae,1632867,WP_045780163.1,179
Methylocucumis oryzae,1632867,KJV05572.1,179
Photobacterium iliopiscarium,56192,WP_045037066.1,645
Photobacterium iliopiscarium,56192,KJG22326.1,645
Alteromonas australica,589873,WP_044056296.1,645
Castellaniella defragrans,75697,WP_043687479.1,632
Alteromonas australica,589873,AIF98095.1,645
Nitrosospira briensis,35799,WP_025040040.1,707
Castellaniella defragrans 65Phen,1437824,CDM25431.1,632
Methylibium sp. T29-B,1437443,EWS61377.1,752
Sulfuricella denitrificans skB26,1163617,BAN34959.1,1054
Eggerthella sp. CAG:368,1262877,CDD66996.1,499
Thioalkalivibrio sp. ALJ16,1158762,WP_018871688.1,445
Thiobacillus thioparus,931,WP_018507262.1,939
Vibrio sp. C7,1001886,GAL09638.1,637
Photobacterium aphoticum,754436,GAL08993.1,639
Shewanella mangrovi,1515746,KFZ36119.1,639
Vibrio cholerae O1 biovar El Tor,686,KFZ35715.1,636
Pseudomonas alkylphenolica,237609,AIL59386.1,648
Pseudomonas aeruginosa,287,CDO80481.1,650
Sulfurospirillum sp. SCADC,1537915,KFL34410.1,652
Pseudomonas aeruginosa,287,KFL11923.1,650
Vibrio sp. OY15,1440054,KFJ86232.1,637
Vibrio sp. B183,1526762,KFI13255.1,636
Vibrio cholerae,666,KFH37399.1,636
Gammaproteobacteria bacterium MFB021,1492922,KFF48365.1,639
Pseudomonas sp. BRG-100,1524267,KFF44836.1,650
Vibrio parahaemolyticus,670,KFE96419.1,637
Pseudomonas aeruginosa,287,BAP24225.1,650
Vibrio mimicus,674,KFE31593.1,636
Vibrio cholerae,666,KFE29058.1,636
Vibrio cholerae,666,KFE24638.1,636
Vibrio cholerae,666,KFE20860.1,636
Vibrio cholerae,666,KFE16773.1,636
Vibrio cholerae,666,KFE12136.1,636
Vibrio cholerae,666,KFE10235.1,636
Vibrio cholerae,666,KFE05026.1,636
Vibrio cholerae,666,KFE01275.1,636
Vibrio cholerae,666,KFD98661.1,636
Vibrio cholerae,666,KFD94484.1,636
Vibrio cholerae,666,KFD92797.1,636
Vibrio cholerae,666,KFD87965.1,636
Vibrio cholerae,666,KFD83869.1,636
Vibrio cholerae,666,KFD81762.1,636
Pseudomonas aeruginosa PGPR2,1328315,KFB19480.1,650
Vibrio sp. ER1A,1517681,KFA98643.1,636
Pseudomonas fluorescens,294,AIG04066.1,648
Pseudomonas putida,303,KEX91934.1,657
Pseudomonas sp. AAC,1502784,KES22537.1,649
Pseudomonas sp. AAC,1502784,KES22179.1,650
Pseudomonas mendocina,300,KER98889.1,655
Pseudomonas fluorescens,294,WP_030138475.1,648
Pseudomonas sp. QTF5,1435425,WP_030130070.1,646
Pseudomonas sp. QTF5,1435425,WP_030128608.1,648
Pseudomonas aeruginosa VRFPA04,1400868,AID84186.1,650
Pseudomonas aeruginosa PAO1H2O,1147787,AID72641.1,650
Hydrogenovibrio sp. MA2-6,1449087,WP_029939498.1,645
Vibrio parahaemolyticus,670,WP_029838886.1,637
Vibrio parahaemolyticus,670,WP_029834824.1,637
Vibrio parahaemolyticus,670,WP_029831030.1,637
Vibrio parahaemolyticus,670,WP_029802697.1,637
Endozoicomonas elysicola,305900,KEI73293.1,648
Pseudomonas aeruginosa,287,KEI27632.1,650
Vibrio,662,WP_029628335.1,636
Methylophaga frappieri,754477,WP_014702651.1,632
Sulfuricella denitrificans,649841,WP_009206091.1,1065
Luminiphilus syltensis,1341119,WP_009020341.1,639
Photobacterium damselae,38293,WP_005301089.1,640
uncultured bacterium,77133,EKD38898.1,269
Methylophaga frappieri,754477,AFJ01198.1,632
Photobacterium damselae subsp. damselae CIP 102761,675817,EEZ41784.1,640
Luminiphilus syltensis NOR5-1B,565045,EED35595.1,639
Alteromonas macleodii,28108,OZB99395.1,644
Burkholderiales bacterium 34-67-9,1970498,OZA89015.1,639
Polaromonas sp. 39-63-25,1970420,OZA88790.1,635
Polaromonas sp. 17-63-33,1970413,OZA52344.1,635
Methylophilaceae bacterium 17-44-8,1970534,OZA04618.1,643
Polaromonas sp. 24-63-21,1970415,OYZ81431.1,635
Polaromonas sp. 16-63-31,1970412,OYZ22348.1,635
Methylophilales bacterium 16-45-7,1970536,OYZ07547.1,643
Hydrogenophilales bacterium 28-61-23,1970530,OYY94040.1,650
Burkholderiales bacterium 28-67-8,1970497,OYY61148.1,668
Methylophilales bacterium 28-44-11,1970538,OYY48609.1,643
Polaromonas sp. 35-63-35,1970418,OYY39604.1,635
Comamonadaceae bacterium 32-67-11,1970505,OYX59531.1,639
Burkholderiales bacterium PBB4,2015566,OYU44771.1,640
Burkholderiales bacterium PBB1,2015563,OYT99461.1,641
Burkholderiales bacterium PBB3,2015565,OYT91110.1,640
Pseudomonas sp. PGPPP2,2015554,OYT76443.1,652
Rhodoferax sp. TH121,2022803,WP_094481532.1,639
Pseudomonas mandelii,75612,WP_094469746.1,648
Pseudomonas mandelii,75612,WP_094468560.1,646
Legionella waltersii,66969,SNV01525.1,643
Vibrio parahaemolyticus,670,OYR36133.1,637
Rhodoferax sp. TH121,2022803,OYQ38838.1,639
Pseudomonas mandelii,75612,OYQ22482.1,646
Pseudomonas mandelii,75612,OYQ16564.1,648
Pseudomonas aeruginosa,287,OYP24935.1,650
Vibrio parahaemolyticus,670,OYP12968.1,637
Vibrio parahaemolyticus,670,OYP03118.1,637
Vibrio cholerae,666,OYP02451.1,636
Acidovorax kalamii,2004485,WP_094291472.1,638
Oceanimonas baumannii,129578,WP_094276898.1,641
Thauera propionica,2019431,WP_094269556.1,633
Thauera propionica,2019431,OYD52706.1,633
Acidovorax kalamii,2004485,OYD48473.1,638
Oceanimonas baumannii,129578,OYD25708.1,641
Oceanimonas doudoroffii,84158,WP_094200781.1,635
Pseudomonas aeruginosa,287,OXZ43574.1,650
Pseudomonas aeruginosa,287,OXZ23058.1,650
Pseudomonas aeruginosa,287,OXZ16720.1,650
Pseudomonas aeruginosa,287,OXZ13981.1,650
Pseudomonas aeruginosa,287,OXZ06620.1,650
Oceanimonas doudoroffii,84158,OXY81895.1,635
Vibrio,662,WP_094149265.1,636
Vibrio,662,WP_094146880.1,636
Vibrio sp. V09_P4A23P171,1938664,WP_094128641.1,636
Vibrio sp. V03_P4A6T147,1938658,WP_094124496.1,608
Lonsdalea iberica,1082703,WP_094110129.1,649
Lonsdalea iberica,1082703,WP_094101959.1,649
Vibrio sp. V19_P1S1T109,1938672,OXX74898.1,636
Vibrio sp. V20_P4S3T152,1938673,OXX68776.1,636
Aliivibrio sifiae,566293,WP_105056541.1,641
Aliivibrio sifiae,566293,PQJ85246.1,641
Desulfoluna spongiiphila,419481,WP_092214510.1,647
Desulfoluna spongiiphila,419481,SCY81227.1,647
Thalassolituus sp. HI0120,1822263,KZZ48621.1,668
Sulfurospirillum deleyianum,65553,WP_012856587.1,654
Sulfurospirillum deleyianum DSM 6946,525898,ACZ11823.1,654
Hydrogenophilales bacterium 17-64-65,1970528,OZA33106.1,818
Hydrogenophilales bacterium 16-64-40,1970521,OYZ27209.1,818
Thiobacillus thioparus,931,WP_081616707.1,798
Thiobacillus sp. 0-1251,1895858,OJY60079.1,798
Thiobacillus sp. 65-69,1895863,OJW39638.1,794
Thiobacillus sp. SCN 63-57,1660145,ODV00778.1,798
Thiobacillus sp. SCN 65-179,1660144,ODU90041.1,794
Thiobacillus denitrificans,36861,WP_059750761.1,834
Sulfuricella sp. T08,1632857,WP_059418800.1,928
Sulfuricella sp. T08,1632857,GAO35180.1,944
Vibrio lentus,136468,WP_102300224.1,391
Vibrio lentus,136468,PMM92247.1,391
Vibrio lentus,136468,PML67233.1,391
Vibrio lentus,136468,PML67045.1,391
Vibrio lentus,136468,PMK72691.1,391
Vibrio lentus,136468,PMJ76751.1,391
Vibrio lentus,136468,PMF97235.1,391
Vibrio lentus,136468,PMF90722.1,391
Vibrio lentus,136468,PMF84264.1,391
Vibrio lentus,136468,PMF80739.1,391
Vibrio lentus,136468,PMF70964.1,391
Vibrio lentus,136468,PMF68802.1,391
Vibrio lentus,136468,PMF65881.1,391
Vibrio lentus,136468,PMF52574.1,391
Vibrio lentus,136468,PMF40717.1,391
Vibrio lentus,136468,PMF39219.1,391
Vibrio lentus,136468,PMF04743.1,391
Vibrio lentus,136468,PMF03190.1,391
Vibrio lentus,136468,PME96639.1,391
Vibrio lentus,136468,PME81557.1,391
Vibrio lentus,136468,PME27094.1,391
Gallionellales bacterium CG_4_9_14_0_8_um_filter_55_61,1974015,PJC03800.1,446
Gallionellales bacterium CG_4_10_14_3_um_filter_54_96,1974013,PIY05130.1,358
Pseudomonas fluorescens,294,ALT22008.1,370
Pseudomonas sp. GM17,1144323,EJM02587.1,321
Achromobacter sp. HZ01,1416886,WP_111827276.1,654
Achromobacter sp. HZ01,1416886,RAP60041.1,654
Achromobacter sp. AONIH1,1758194,WP_103275273.1,656
Achromobacter sp. AONIH1,1758194,AUT48973.1,656
Achromobacter pulmonis,1389932,WP_102771681.1,654
Achromobacter pulmonis,1389932,PND35757.1,654
Hydrogenophilales bacterium 17-64-11,1970526,OZA23422.1,825
Thiobacillus sp. 65-1402,1895861,OJW86978.1,789
Marinobacter fuscus,2109942,PSF08282.1,657
Halomonas songnenensis,1176243,WP_106375976.1,632
Halomonas songnenensis,1176243,PRY61381.1,632
Aliivibrio sifiae,566293,WP_105063554.1,641
Aliivibrio sifiae,566293,PQJ86729.1,641
Pseudomonas stutzeri,316,WP_102829377.1,645
Pseudomonas stutzeri,316,PNF75215.1,645
Shewanella sp. 10N.286.52.B9,1880837,WP_102531349.1,697
Shewanella sp. 10N.286.48.A6,1880833,WP_102520793.1,695
Shewanella sp. 10N.286.52.C2,1880838,WP_102477056.1,697
Shewanella sp. 10N.286.48.B5,1880834,WP_102439098.1,697
Shewanella sp. 10N.286.48.A6,1880833,PMH95161.1,695
Shewanella sp. 10N.286.48.B5,1880834,PMH86656.1,697
Shewanella sp. 10N.286.52.B9,1880837,PMG43345.1,697
Shewanella sp. 10N.286.52.C2,1880838,PMG27589.1,697
Alteromonas macleodii,28108,WP_101564147.1,645
Chromatocurvus sp. F02,1905677,WP_101522389.1,641
Chromatocurvus sp. F02,1905677,PLW81591.1,641
Alteromonas macleodii,28108,AUI82180.1,645
